paragraph_id,segment_id,ucp,Source_paragraph,unit,modality,reviewer,translator,classification,sub_classification,Language,reproduction,omission,creative_shift,NA
12,23,22,Aging had touched him that much before the cure for aging was found.,Aging had touched him that much,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
13,24,23,The mural he was working on depicted a very neat garden.,mural,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
13,25,24,"Men and women in white, doctors and nurses, turned the soil, planted seedlings, sprayed bugs, spread fertilizer.","Men and women in white, doctors and nurses",mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
13,25,25,,"turned the soil, planted seedlings, sprayed bugs, spread fertilizer",mtpe,R1,T2,NA,NA,CA,0,0,0,1
14,26,26,"Men and women in purple uniforms pulled up weeds, cut down plants that were old and sickly, raked leaves, carried refuse to trash-burners.",purple uniforms pulled up weeds,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
14,26,27,,trash burners,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
15,27,28,"Never, never, never—not even in medieval Holland nor old Japan—had a garden been more formal, been better tended.","Never, never, never",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
15,27,29,,"been more formal, been better tended",mtpe,R1,T2,Concretisation,Addition,CA,0,0,1,0
15,28,30,"Every plant had all the loam, light, water, air and nourishment it could use.","loam, light, water, air and nourishment",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
16,29,31,"A hospital orderly came down the corridor, singing under his breath a popular song:",orderly came down the corridor,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
17,30,32,"If you don't like my kisses, honey,","If you don't like my kisses, honey,",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
18,31,33,Here's what I will do:,Here's what I will do:,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
19,32,34,"I'll go see a girl in purple,","I'll go see a girl in purple,",mtpe,R1,T2,Concretisation,Addition,CA,0,0,1,0
20,33,35,Kiss this sad world toodle-oo.,Kiss this sad world toodle-oo.,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
21,34,36,"If you don't want my lovin',","If you don't want my lovin',",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
22,35,37,Why should I take up all this space?,Why should I take up all this space?,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
23,36,38,"I'll get off this old planet,","I'll get off this old planet,",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
24,37,39,Let some sweet baby have my place.,Let some sweet baby have my place.,mtpe,R1,T2,Omission,Creative,CA,0,1,0,0
25,38,40,The orderly looked in at the mural and the muralist.,looked in at,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
25,38,41,,mural and muralist,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
26,40,42,"""What makes you think you're not in it?"" said the painter.",you (formal versus informal),mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
26,41,43,He gave a satiric smile.,satiric smile,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
26,42,44,"""It's called 'The Happy Garden of Life,' you know.""",The Happy Garden of Life,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
26,42,45,,you know,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
27,43,46,"""That's good of Dr. Hitz,"" said the orderly.",Dr. Hitz,mtpe,R1,T2,Reproduction,Official Translation,CA,1,0,0,0
27,43,47,,That's good of,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
28,44,48,"He was referring to one of the male figures in white, whose head was a portrait of Dr. Benjamin Hitz, the hospital's Chief Obstetrician.",whose head was a portrait of,mtpe,R1,T2,Concretisation,Addition,CA,0,0,1,0
28,44,49,,Chief Obstetrician,mtpe,R1,T2,Reproduction,Official Translation,CA,1,0,0,0
28,45,50,Hitz was a blindingly handsome man.,a blindingly handsome man,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
29,46,51,"""Lot of faces still to fill in,"" said the orderly.",Lot of faces,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
29,46,52,,still to fill in,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
29,47,53,He meant that the faces of many of the figures in the mural were still blank.,still blank,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
29,48,54,All blanks were to be filled with portraits of important people on either the hospital staff or from the Chicago Office of the Federal Bureau of Termination.,Chicago Office of the Federal Bureau of Termination,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
30,49,55,"""Must be nice to be able to make pictures that look like something,"" said the orderly.",Must be nice … look like something,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
31,50,56,The painter's face curdled with scorn.,faced burdled with scorn,mtpe,R1,T2,Omission,Shortcut,CA,0,1,0,0
31,51,57,"""You think I'm proud of this daub?"" he said.",You think,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
31,51,58,,this daub,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
32,53,59,"""What's your idea of what life looks like?"" said the orderly.",your (formal vs informal),mtpe,R1,T2,NA,NA,CA,0,0,0,1
33,54,60,The painter gestured at a foul dropcloth.,foul dropcloth,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
33,55,61,"""There's a good picture of it,"" he said.",There's a good picture of it.,mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
33,56,62,"""Frame that, and you'll have a picture a damn sight more honest than this one.""",damn sight more honest,mtpe,R1,T2,Omission,Shortcut,CA,0,1,0,0
34,57,63,"""You're a gloomy old duck, aren't you?"" said the orderly.",gloomy old duck,mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
36,60,64,"""If you don't like it here, Grandpa..."" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call.",Grandpa,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
36,60,65,"The orderly shrugged. ""If you don't like it here, Grandpa--"" he said, and he finished the thought with the trick telephone number that people who didn't want to live any more were supposed to call",trick telephone number ,mtpe,R1,T2,NA,NA,CA,0,0,0,1
36,61,66,"The zero in the telephone number he pronounced ""naught.""","The zero in the telephone number he pronounced ""naught.""",mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
37,62,67,"The number was: ""2 B R 0 2 B.""",2BR02B,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
38,63,68,"It was the telephone number of an institution whose fanciful sobriquets included: ""Automat,"" ""Birdland,"" ""Cannery,"" ""Catbox,"" ""De-louser,"" ""Easy-go,"" ""Good-by, Mother,"" ""Happy Hooligan,"" ""Kiss-me-quick,"" ""Lucky Pierre,"" ""Sheepdip,"" ""Waring Blendor,"" ""Weep-no-more"" and ""Why Worry?""",fanciful,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
38,63,69,,sobriquets,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
38,63,70,,Automat,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
38,63,71,,Birdland,mtpe,R1,T2,Abstraction,Superordinate Term,CA,0,0,1,0
38,63,72,,Cannery,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
38,63,73,,Catbox,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
38,63,74,,De-louser,mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
38,63,75,,Easy-go,mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
38,63,76,,"Good-by, Mother",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
38,63,77,,Happy Hooligan,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
38,63,78,,Kiss-me-quick,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
38,63,79,,Lucky Pierre,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
38,63,80,,Sheepdip,mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
38,63,81,,Waring Blendor,mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
38,63,82,,Weep-no-more,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
38,63,83,,Why Worry?,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
39,64,84,"""To be or not to be"" was the telephone number of the municipal gas chambers of the Federal Bureau of Termination.","""To be or not to be""",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
39,64,85,,Federal Bureau of Termination,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
41,67,86,"""A do-it-yourselfer, eh?"" said the orderly.",do-it-yourselfer,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
41,68,87,"""Messy business, Grandpa.","Messy business, Granpa",mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
42,70,88,The painter expressed with an obscenity his lack of concern for the tribulations of his survivors.,expressed with an obscenity,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
42,70,89,,lack of concern,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
42,70,90,,tribulations,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
42,71,91,"""The world could do with a good deal more mess, if you ask me,"" he said.",could do with a,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
45,75,92,"A coarse, formidable woman strode into the waiting room on spike heels.","coarse, formidable woman",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
45,75,93,,spike heels,mtpe,R1,T2,Reproduction,Official Translation,CA,1,0,0,0
45,75,94,,strode into the waiting room,mtpe,R1,T2,Abstraction,Superordinate Term,CA,0,0,1,0
45,76,95,"Her shoes, stockings, trench coat, bag and overseas cap were all purple, the purple the painter called ""the color of grapes on Judgment Day.""",overseas cap,mtpe,R1,T2,Reproduction,Official Translation,CA,1,0,0,0
45,76,96,,the color of grapes on Judgment Day,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
46,77,97,"The medallion on her purple musette bag was the seal of the Service Division of the Federal Bureau of Termination, an eagle perched on a turnstile.",musette bag,mtpe,R1,T2,Concretisation,Addition,CA,0,0,1,0
46,77,98,,Service Division,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
46,77,99,,medallion,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
47,78,100,"The woman had a lot of facial hair--an unmistakable mustache , in fact.",unmistakable mustache,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
47,79,101,"A curious thing about gas-chamber hostesses was that, no matter how lovely and feminine they were when recruited, they all sprouted mustaches within five years or so.",sprouted mustaches,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
49,81,102,"""A lot would depend on what your business was,"" he said.",what your business was,mtpe,R1,T2,Abstraction,Paraphrase,CA,0,0,1,0
50,84,103,"""My name's Leora Duncan.""",Leora Duncan,mtpe,R1,T2,Reproduction,Retention,CA,1,0,0,0
51,86,104,"""And you dunk people,"" he said.",dunk people,mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
54,90,105,"""Looks just like heaven or something.""",Looks just like heaven or something.,mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
55,91,106,"""Or something,"" said the painter. ",Or something,mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
55,92,107,He took a list of names from his smock pocket.,smock,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
55,95,108,You're entitled to be immortalized.,entitled to be immortalized,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
55,96,109,See any faceless body here you'd like me to stick your head on?,faceless body,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
55,96,110,,stick your head on,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
55,97,111,We've got a few choice ones left.,choice ones,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
56,99,112,"""Gee,"" she said, ""they're all the same to me.",Gee,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
57,101,113,"""A body's a body, eh?"" he said, ""All righty.","A body's a body, eh?",mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
57,101,114,,All righty,mtpe,R1,T2,Omission,Creative,CA,0,1,0,0
57,103,115,He indicated a faceless figure of a woman who was carrying dried stalks to a trash-burner.,faceless figure,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
58,104,116,"""Well,"" said Leora Duncan, ""that's more the disposal people, isn't it?","Well,",mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
58,104,117,,disposal people,mtpe,R1,T2,Concretisation,Addition,CA,0,0,1,0
58,105,118,"I mean, I'm in service.",I'm in service,mtpe,R1,T2,Reproduction,Specification,CA,1,0,0,0
59,107,119,The painter clapped his hands in mock delight.,in mock delight,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
59,109,120,Of course the sheave-carrier is wrong for a hostess!,sheave-carrier,mtpe,R1,T2,Reproduction,Direct Translation,CA,1,0,0,0
59,110,121,"A snipper, a pruner—that's more your line.""",a pruner,mtpe,R1,T2,Concretisation,Addition,CA,0,0,1,0
59,110,122,,that's more your line,mtpe,R1,T2,Modification,Situational,CA,0,0,1,0
60,114,123,"""Gosh—"" she said, and she blushed and became humble—""that—that puts me right next to Dr. Hitz.""",Gosh,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
62,116,124,"""Good gravy, no!"" she said.",Good gravy,mtpe,R1,T2,Modification,Cultural,CA,0,0,1,0
63,118,125,"""Ah, You admire him, eh?"" he said.",You (upper case),mtpe,R1,T1,NA,NA,CA,0,0,0,1
63,118,126,,eh?,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
65,123,127,"""Nothing would please me more,"" said the painter, ""than to put you next to him for all time.",Nothing would please me more,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
66,125,128,"""That is kind of like what I do,"" she said.",kind of like,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
66,126,129,She was demure about what she did. ,She was demure about what she did. ,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
67,129,130,"He was seven feet tall, and he boomed with importance, accomplishments, and the joy of living.",seven feet tall,mtpe,R1,T1,Modification,Cultural,CA,0,0,1,0
67,129,131,,boomed with,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
68,130,132,"""Well, Miss  Duncan! Miss Duncan!"" he said, and he made a joke. ",Miss,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
68,132,133,"""What are you doing here?"" he said. ",you (formal versus informal),mtpe,R1,T1,Concretisation,Addition,CA,0,0,1,0
70,137,134,"""And, say, isn't that some picture?""","say, ins't that some picture?",mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
71,138,135,"""I sure am honored to be in it with you,"" she said.",I sure am,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
71,138,136,,you (formal versus informal),mtpe,R1,T1,Concretisation,Addition,CA,0,0,1,0
72,139,137,"""Let me tell you ,"" he said, ""I'm honored to be in it with you. ",Let me tell you,mtpe,R1,T1,Reproduction,Specification,CA,1,0,0,0
73,142,138,"""Guess what was just born,"" he said.",Guess what,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
76,146,139,She was exclaiming over the legal implications of triplets.,exclaiming over the legal implications of triplets,mtpe,R1,T1,Reproduction,Specification,CA,1,0,0,0
77,148,140,"Triplets, if they were all to live, called for three volunteers.",if they were all to live,mtpe,R1,T1,Reproduction,Specification,CA,1,0,0,0
79,150,141,"""Last I heard,"" said Dr. Hitz, ""they had one, and were trying to scrape another two up.""",to scrape another two up,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
79,150,142,,Last I heard,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
80,151,143,"""I don't think they made it ,"" she said.",they made it,mtpe,R1,T1,Modification,Cultural,CA,0,0,1,0
80,153,144,"Nothing but singles going through today, unless somebody called in after I left.",singles going through,mtpe,R1,T1,Omission,Creative,CA,0,1,0,0
80,153,145,,called in,mtpe,R1,T1,NA,NA,CA,0,0,0,1
80,154,146,"What's the name?""",What's the name?,mtpe,R1,T1,Reproduction,Official Translation,CA,1,0,0,0
81,155,147,"""Wehling,"" said the waiting father, sitting up, red-eyed and frowzy.",red-eyed and frowzy,mtpe,R1,T1,Reproduction,Specification,CA,1,0,0,0
81,156,148,"""Edward K. Wehling, Jr., is the name of the happy father-to-be.""",happy father-to-be,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
82,157,149,"He raised his right hand, looked at a spot on the wall, gave a hoarsely wretched chuckle.",hoarsely wretched chuckle,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
83,159,150,"""Oh, Mr. Wehling,"" said Dr. Hitz, ""I didn't see you.""",you (formal versus informal),mtpe,R1,T1,Concretisation,Addition,CA,0,0,1,0
84,160,151,"""The invisible man,"" said Wehling.",invisible man,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
85,162,152,"""They're all fine, and so is the mother. I'm on my way in to see them now.""",the mother,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
86,164,153,"""Hooray,"" said Wehling emptily.",emptily,mtpe,R1,T1,Reproduction,Specification,CA,1,0,0,0
88,166,154,"""What man in my shoes wouldn't be happy?"" said Wehling.",What man in my shoes,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
88,167,155,He gestured with his hands to symbolize care-free simplicity.,He gestured with his hands to symbolize care-free simplicity.,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
88,168,156,"""All I have to do  is pick out which one of the triplets is going to live, then deliver my maternal grandfather to the Happy Hooligan , and come back here with a receipt.""",All I have to do,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
90,171,157,"""I think it's perfectly keen,"" said Wehling tautly.",it's perfectly keen,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
90,171,158,,tautly,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
91,172,159,"""Would you like to go back to the good old days, when the population of the Earth was twenty billion—about to become forty billion, then eighty billion, then one hundred and sixty billion?",good old days,mtpe,R1,T1,Omission,Shortcut,CA,0,1,0,0
91,173,160,"Do you know what a drupelet is, Mr. Wehling?"" said Hitz.",drupelet,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
92,174,161,"""Nope,"" said Wehling sulkily.",sulkily,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
93,175,162,"""A drupelet, Mr. Wehling, is one of the little knobs, one of the little pulpy grains of a blackberry,"" said Dr. Hitz.","one of the little knobs, one of the little pulpy grains of a blackberry",mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
93,176,163,"""Without population control, human beings would now be packed on this surface of this old planet like drupelets on a blackberry! Think of it!""",human beings would now be packed on this surface of this old planet like drupelets on a blackberry,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
95,179,164,"""In the year 2000,"" said Dr. Hitz, ""before scientists stepped in and laid down the law, there wasn't even enough drinking water to go around, and nothing to eat but sea-weed—and still people insisted on their right to reproduce like jackrabbits.",stepped in,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
95,179,165,,go around,mtpe,R1,T1,Omission,Creative,CA,0,1,0,0
95,179,166,,right to reproduce like jackrabbits,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
103,194,167,"""I should have said, 'Ethical Suicide Studios,'"" he said.",Ethical Suicide Studios,mtpe,R1,T1,Abstraction,Superordinate Term,CA,0,0,1,0
105,197,168,"""He or she is going to live on a happy, roomy, clean, rich planet, thanks to population control.","happy, roomy, clean, rich planet",mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
105,201,169,"Now centuries of peace and plenty stretch before us as far as the imagination cares to travel.""",peace and plenty,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
105,201,170,,the imagination cares to travel,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
106,202,171,He smiled luminously.,luminously,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
108,204,172,Wehling shot Dr. Hitz dead. ,Wehling shot Dr. Hitz dead. ,mtpe,R1,T1,Omission,Shortcut,CA,0,1,0,0
108,205,173,"""There's room for one—a great big one,"" he said.",There's room for one—a great big one,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
109,207,174,"""It's only death,"" he said to her as she fell.",It's only death,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
106,208,175,"""There! Room for two.""","There! Room for two.""",mtpe,R1,T1,Modification,Cultural,CA,0,0,1,0
111,210,176,Nobody came running.,Nobody came running.,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
112,212,177,"The painter sat on the top of his stepladder, looking down reflectively on the sorry scene.",sorry scene,mtpe,R1,T1,Concretisation,Addition,CA,0,0,1,0
113,213,178,"The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful ... to multiply and to live as long as possible—to do all that on a very small planet that would have to last forever.","The painter pondered the mournful puzzle of life demanding to be born and, once born, demanding to be fruitful",mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
114,"216, 217, 218",179,He thought of war. He thought of plague. He thought of starvation.,He thought of war. He thought of plague. He thought of starvation.,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
115,221,180,"And then he decided he had had about enough  of life in the Happy Garden of Life , too, and he came slowly down from the ladder.",he had had about enough  ,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
118,224,181,And then he saw the telephone booth in the corner of the room.,telephone booth,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
121,228,182,"""We could probably fit you in late this afternoon, sir,"" she said.",fit you in,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
122,230,183,"""All right,"" said the painter, ""fit me in , if you please."" ",fit me in,mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
123,233,184,"""Your city thanks you; your country thanks you; your planet thanks you.",Your city thanks you; your country thanks you; your planet thanks you.,mtpe,R1,T1,Reproduction,Direct Translation,CA,1,0,0,0
123,234,185,"But the deepest thanks of all is from future generations.""","But the deepest thanks of all is from future generations.""",mtpe,R1,T1,Modification,Situational,CA,0,0,1,0
1,1,1,2BR02B,2BR02B,mt,R1,MT,NA,NA,CA,0,0,0,1
2,2,2,Everything was perfectly swell.,perfectly swell,mt,R1,MT,Omission,Shortcut,CA,0,1,0,0
4,5,3,So was old age.,So was all age,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
5,6,4,"Death, barring accidents, was an adventure for volunteers.",barring accidents,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
5,6,5,,volunteers,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
6,7,6,The population of the United States was stabilized at forty-million souls.,was stabilized at,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
7,8,7,"One bright morning in the Chicago Lying-in Hospital, a man named Edward K. Wehling, Jr., waited for his wife to give birth.",Chicago Lying-in Hospital,mt,R1,MT,NA,NA,CA,0,0,0,1
7,8,8,,"Edward K. Wehling, Jr.",mt,R1,MT,Reproduction,Retention,CA,1,0,0,0
7,8,9,,waited for his wife to give birth,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
7,9,10,He was the only man waiting.,the only man waiting,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
7,10,11,Not many people were born a day any more.,Not many people were born a day any more,mt,R1,MT,NA,NA,CA,0,0,0,1
8,11,12,"Wehling was fifty-six, a mere stripling in a population whose average age was one hundred and twenty-nine.",a mere stripling,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
9,12,13,X-rays had revealed that his wife was going to have triplets.,X-rays,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
10,14,14,"Young Wehling was hunched in his chair, his head in his hand.","hunched in this chair, his head in his hand",mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
10,15,15,"He was so rumpled, so still and colorless as to be virtually invisible.","so rumpled, so still, and colorless",mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
10,15,16,,as to be virtually invisible,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
10,16,17,"His camouflage was perfect, since the waiting room had a disorderly and demoralized air, too.",disorderly and demoralized air,mt,R1,MT,Omission,Shortcut,CA,0,1,0,0
10,18,18,The floor was paved with spattered dropcloths.,spattered dropcloths,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
11,19,19,The room was being redecorated.,redecorated,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
12,21,20,"A sardonic old man, about two hundred years old, sat on a stepladder, painting a mural he did not like.",sardonic old man,mt,R1,MT,Reproduction,Direct Translation,CA,1,0,0,0
