string_id,paragraph_id,rev,tr,modality,error_category,error_subcategory,error_severity,Language,error_number,error_point,kudos,neutral
50,31,R1,T2,mtpe,,,,CA,0,0,0,0
51,31,R1,T2,mtpe,,,,CA,0,0,0,0
52,31,R1,T2,mtpe,,,,CA,0,0,0,0
53,32,R1,T2,mtpe,Fluency,Grammatical register,Minor,CA,1,1,0,0
54,33,R1,T2,mtpe,Accuracy,Under-translation,Minor,CA,1,1,0,0
55,33,R1,T2,mtpe,,,,CA,0,0,0,0
56,33,R1,T2,mtpe,Fluency,Grammar,Minor,CA,1,1,0,0
57,34,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
58,35,R1,T2,mtpe,,,,CA,0,0,0,0
59,36,R1,T2,mtpe,,,,CA,0,0,0,0
60,36,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
61,36,R1,T2,mtpe,Verity,Culture-specific reference,Minor,CA,1,1,0,0
62,37,R1,T2,mtpe,Verity,Culture-specific reference,Minor,CA,1,1,0,0
63,38,R1,T2,mtpe,,,,CA,0,0,0,0
64,39,R1,T2,mtpe,,,,CA,0,0,0,0
65,40,R1,T2,mtpe,,,,CA,0,0,0,0
66,40,R1,T2,mtpe,,,,CA,0,0,0,0
67,41,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
68,41,R1,T2,mtpe,,,,CA,0,0,0,0
69,41,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
70,42,R1,T2,mtpe,,,,CA,0,0,0,0
71,42,R1,T2,mtpe,,,,CA,0,0,0,0
72,43,R1,T2,mtpe,,,,CA,0,0,0,0
73,44,R1,T2,mtpe,,,,CA,0,0,0,0
74,44,R1,T2,mtpe,,,,CA,0,0,0,0
75,45,R1,T2,mtpe,,,,CA,0,0,0,0
76,45,R1,T2,mtpe,Fluency,Grammar,Minor,CA,1,1,0,0
77,46,R1,T2,mtpe,,,,CA,0,0,0,0
78,47,R1,T2,mtpe,,,,CA,0,0,0,0
79,47,R1,T2,mtpe,Style,Awkward,Minor,CA,1,1,0,0
80,48,R1,T2,mtpe,,,,CA,0,0,0,0
81,49,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
82,49,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
83,50,R1,T2,mtpe,,,,CA,0,0,0,0
84,50,R1,T2,mtpe,,,,CA,0,0,0,0
85,50,R1,T2,mtpe,,,,CA,0,0,0,0
86,51,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
87,52,R1,T2,mtpe,,,,CA,0,0,0,0
88,53,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
89,54,R1,T2,mtpe,,,,CA,0,0,0,0
90,54,R1,T2,mtpe,,,,CA,0,0,0,0
91,55,R1,T2,mtpe,,,,CA,0,0,0,0
92,55,R1,T2,mtpe,,,,CA,0,0,0,0
93,55,R1,T2,mtpe,,,,CA,0,0,0,0
94,55,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
95,55,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
96,55,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
97,55,R1,T2,mtpe,,,,CA,0,0,0,0
98,56,R1,T2,mtpe,,,,CA,0,0,0,0
99,56,R1,T2,mtpe,,,,CA,0,0,0,0
100,56,R1,T2,mtpe,,,,CA,0,0,0,0
101,57,R1,T2,mtpe,,,,CA,0,0,0,0
102,57,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
103,57,R1,T2,mtpe,,,,CA,0,0,0,0
104,58,R1,T2,mtpe,,,,CA,0,0,0,0
105,58,R1,T2,mtpe,,,,CA,0,0,0,0
106,58,R1,T2,mtpe,,,,CA,0,0,0,0
107,59,R1,T2,mtpe,,,,CA,0,0,0,0
108,59,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
109,59,R1,T2,mtpe,,,,CA,0,0,0,0
110,59,R1,T2,mtpe,Accuracy,Mistranslation,Minor,CA,1,1,0,0
111,59,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
112,59,R1,T2,mtpe,,,,CA,0,0,0,0
113,59,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
114,60,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
115,61,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
116,62,R1,T2,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
117,62,R1,T2,mtpe,,,,CA,0,0,0,0
118,63,R1,T1,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
119,64,R1,T1,mtpe,,,,CA,0,0,0,0
120,64,R1,T1,mtpe,Fluency,Punctuation,Minor,CA,1,1,0,0
121,64,R1,T1,mtpe,Fluency,Punctuation,Minor,CA,1,1,0,0
122,64,R1,T1,mtpe,,,,CA,0,0,0,0
123,65,R1,T1,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
124,65,R1,T1,mtpe,Fluency,Grammatical register,Neutral,CA,1,0,0,1
125,66,R1,T1,mtpe,,,,CA,0,0,0,0
126,66,R1,T1,mtpe,,,,CA,0,0,0,0
127,66,R1,T1,mtpe,,,,CA,0,0,0,0
128,67,R1,T1,mtpe,,,,CA,0,0,0,0
129,67,R1,T1,mtpe,,,,CA,0,0,0,0
130,68,R1,T1,mtpe,,,,CA,0,0,0,0
131,68,R1,T1,mtpe,Fluency,Punctuation,Minor,CA,1,1,0,0
132,68,R1,T1,mtpe,,,,CA,0,0,0,0
133,68,R1,T1,mtpe,,,,CA,0,0,0,0
134,68,R1,T1,mtpe,,,,CA,0,0,0,0
135,69,R1,T1,mtpe,,,,CA,0,0,0,0
136,70,R1,T1,mtpe,,,,CA,0,0,0,0
137,70,R1,T1,mtpe,,,,CA,0,0,0,0
138,71,R1,T1,mtpe,,,,CA,0,0,0,0
139,72,R1,T1,mtpe,Fluency,Grammar,Minor,CA,1,1,0,0
140,72,R1,T1,mtpe,,,,CA,0,0,0,0
141,73,R1,T1,mtpe,,,,CA,0,0,0,0
142,73,R1,T1,mtpe,,,,CA,0,0,0,0
143,74,R1,T1,mtpe,,,,CA,0,0,0,0
144,75,R1,T1,mtpe,,,,CA,0,0,0,0
145,76,R1,T1,mtpe,,,,CA,0,0,0,0
146,76,R1,T1,mtpe,,,,CA,0,0,0,0
147,77,R1,T1,mtpe,,,,CA,0,0,0,0
148,77,R1,T1,mtpe,,,,CA,0,0,0,0
149,78,R1,T1,mtpe,,,,CA,0,0,0,0
150,79,R1,T1,mtpe,,,,CA,0,0,0,0
151,80,R1,T1,mtpe,,,,CA,0,0,0,0
152,80,R1,T1,mtpe,,,,CA,0,0,0,0
153,80,R1,T1,mtpe,,,,CA,0,0,0,0
154,80,R1,T1,mtpe,,,,CA,0,0,0,0
155,81,R1,T1,mtpe,Fluency,Grammar,Minor,CA,1,1,0,0
156,81,R1,T1,mtpe,,,,CA,0,0,0,0
157,82,R1,T1,mtpe,Style,Awkward,Minor,CA,1,1,0,0
158,82,R1,T1,mtpe,,,,CA,0,0,0,0
159,83,R1,T1,mtpe,,,,CA,0,0,0,0
160,84,R1,T1,mtpe,,,,CA,0,0,0,0
161,85,R1,T1,mtpe,,,,CA,0,0,0,0
162,85,R1,T1,mtpe,,,,CA,0,0,0,0
163,85,R1,T1,mtpe,,,,CA,0,0,0,0
164,86,R1,T1,mtpe,,,,CA,0,0,0,0
165,87,R1,T1,mtpe,,,,CA,0,0,0,0
166,88,R1,T1,mtpe,Accuracy,Mistranslation,Major,CA,1,5,0,0
167,88,R1,T1,mtpe,Style,Awkward,Minor,CA,1,1,0,0
168,88,R1,T1,mtpe,,,,CA,0,0,0,0
169,89,R1,T1,mtpe,,,,CA,0,0,0,0
170,89,R1,T1,mtpe,,,,CA,0,0,0,0
171,90,R1,T1,mtpe,,,,CA,0,0,0,0
172,91,R1,T1,mtpe,,,,CA,0,0,0,0
173,91,R1,T1,mtpe,,,,CA,0,0,0,0
174,92,R1,T1,mtpe,,,,CA,0,0,0,0
175,93,R1,T1,mtpe,,,,CA,0,0,0,0
176,93,R1,T1,mtpe,,,,CA,0,0,0,0
177,93,R1,T1,mtpe,,,,CA,0,0,0,0
178,94,R1,T1,mtpe,,,,CA,0,0,0,0
179,95,R1,T1,mtpe,,,,CA,0,0,0,0
180,95,R1,T1,mtpe,Style,Awkward,Minor,CA,1,1,0,0
181,96,R1,T1,mtpe,,,,CA,0,0,0,0
182,96,R1,T1,mtpe,,,,CA,0,0,0,0
183,97,R1,T1,mtpe,,,,CA,0,0,0,0
184,97,R1,T1,mtpe,,,,CA,0,0,0,0
185,98,R1,T1,mtpe,,,,CA,0,0,0,0
186,99,R1,T1,mtpe,,,,CA,0,0,0,0
187,100,R1,T1,mtpe,,,,CA,0,0,0,0
188,101,R1,T1,mtpe,,,,CA,0,0,0,0
189,102,R1,T1,mtpe,,,,CA,0,0,0,0
190,102,R1,T1,mtpe,,,,CA,0,0,0,0
191,103,R1,T1,mtpe,,,,CA,0,0,0,0
192,103,R1,T1,mtpe,Fluency,Punctuation,Minor,CA,1,1,0,0
193,103,R1,T1,mtpe,Fluency,Punctuation,,CA,0,0,0,0
193,103,R1,T1,mtpe,Fluency,Grammar,Minor,CA,1,1,0,0
194,103,R1,T1,mtpe,,,,CA,0,0,0,0
195,104,R1,T1,mtpe,,,,CA,0,0,0,0
196,105,R1,T1,mtpe,Fluency,Punctuation,Minor,CA,1,1,0,0
197,105,R1,T1,mtpe,,,,CA,0,0,0,0
198,105,R1,T1,mtpe,Fluency,Punctuation,Minor,CA,1,1,0,0
199,105,R1,T1,mtpe,Fluency,Punctuation,Minor,CA,1,1,0,0
200,105,R1,T1,mtpe,,,,CA,0,0,0,0
201,105,R1,T1,mtpe,,,,CA,0,0,0,0
202,106,R1,T1,mtpe,,,,CA,0,0,0,0
203,107,R1,T1,mtpe,,,,CA,0,0,0,0
204,108,R1,T1,mtpe,,,,CA,0,0,0,0
205,108,R1,T1,mtpe,Style,Awkward,Minor,CA,1,1,0,0
206,109,R1,T1,mtpe,,,,CA,0,0,0,0
207,109,R1,T1,mtpe,,,,CA,0,0,0,0
208,109,R1,T1,mtpe,,,,CA,0,0,0,0
209,110,R1,T1,mtpe,,,,CA,0,0,0,0
210,111,R1,T1,mtpe,,,,CA,0,0,0,0
211,111,R1,T1,mtpe,,,,CA,0,0,0,0
212,112,R1,T1,mtpe,Accuracy,Mistranslation,Minor,CA,1,1,0,0
213,113,R1,T1,mtpe,,,,CA,0,0,0,0
214,114,R1,T1,mtpe,,,,CA,0,0,0,0
215,114,R1,T1,mtpe,,,,CA,0,0,0,0
216,114,R1,T1,mtpe,,,,CA,0,0,0,0
217,114,R1,T1,mtpe,,,,CA,0,0,0,0
218,114,R1,T1,mtpe,,,,CA,0,0,0,0
219,115,R1,T1,mtpe,,,,CA,0,0,0,0
220,115,R1,T1,mtpe,Style,Inconsistent style,Minor,CA,1,1,0,0
221,115,R1,T1,mtpe,Fluency,Punctuation,Minor,CA,1,1,0,0
222,116,R1,T1,mtpe,,,,CA,0,0,0,0
223,117,R1,T1,mtpe,,,,CA,0,0,0,0
224,118,R1,T1,mtpe,,,,CA,0,0,0,0
225,118,R1,T1,mtpe,Accuracy,Mistranslation,Minor,CA,1,1,0,0
225,118,R1,T1,mtpe,Locale convention,Telephone format,Minor,CA,1,1,0,0
226,119,R1,T1,mtpe,,,,CA,0,0,0,0
227,120,R1,T1,mtpe,,,,CA,0,0,0,0
228,121,R1,T1,mtpe,,,,CA,0,0,0,0
229,121,R1,T1,mtpe,,,,CA,0,0,0,0
230,122,R1,T1,mtpe,,,,CA,0,0,0,0
231,122,R1,T1,mtpe,,,,CA,0,0,0,0
232,123,R1,T1,mtpe,,,,CA,0,0,0,0
233,123,R1,T1,mtpe,,,,CA,0,0,0,0
234,123,R1,T1,mtpe,,,,CA,0,0,0,0
1,1,R1,ECA,mt,Accuracy,Untranslated,Critical,CA,1,10,0,0
2,2,R1,ECA,mt,,,,CA,0,0,0,0
3,3,R1,ECA,mt,,,,CA,0,0,0,0
4,4,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
5,4,R1,ECA,mt,,,,CA,0,0,0,0
6,5,R1,ECA,mt,,,,CA,0,0,0,0
7,6,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
8,7,R1,ECA,mt,Accuracy,Untranslated,Major,CA,1,5,0,0
8,7,R1,ECA,mt,Fluency,Grammar,Major,CA,1,5,0,0
9,7,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
10,7,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
11,8,R1,ECA,mt,Style,Awkward,Minor,CA,1,1,0,0
12,9,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
13,9,R1,ECA,mt,Style,Awkward,Minor,CA,1,1,0,0
14,10,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
15,10,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
16,10,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
17,10,R1,ECA,mt,Style,Awkward,Minor,CA,1,1,0,0
18,10,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
19,11,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
20,11,R1,ECA,mt,Style,Awkward,Minor,CA,1,1,0,0
21,12,R1,ECA,mt,,,,CA,0,0,0,0
22,12,R1,ECA,mt,Fluency,Grammar,Major,CA,1,5,0,0
23,12,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
24,13,R1,ECA,mt,,,,CA,0,0,0,0
25,13,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
25,13,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
26,14,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
26,14,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
27,15,R1,ECA,mt,Style,Unidiomatic,Major,CA,1,5,0,0
28,15,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
29,16,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
30,17,R1,ECA,mt,,,,CA,0,0,0,0
31,18,R1,ECA,mt,Design,Local formatting,Minor,CA,1,1,0,0
32,19,R1,ECA,mt,Design,Local formatting,Minor,CA,1,1,0,0
32,19,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
33,20,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
33,20,R1,ECA,mt,Other,,Major,CA,1,5,0,0
34,21,R1,ECA,mt,,,,CA,0,0,0,0
35,22,R1,ECA,mt,Other,,Major,CA,1,5,0,0
36,23,R1,ECA,mt,,,,CA,0,0,0,0
37,24,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
37,24,R1,ECA,mt,Other,,Major,CA,1,5,0,0
38,25,R1,ECA,mt,Accuracy,Mistranslation,Neutral,CA,1,0,0,1
39,25,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
40,26,R1,ECA,mt,,,,CA,0,0,0,0
41,26,R1,ECA,mt,Style,Awkward,Minor,CA,1,1,0,0
42,26,R1,ECA,mt,,,,CA,0,0,0,0
43,27,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
43,27,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
44,28,R1,ECA,mt,Style,Awkward,Minor,CA,1,1,0,0
44,28,R1,ECA,mt,Style,Awkward,Major,CA,1,5,0,0
45,28,R1,ECA,mt,,,,CA,0,0,0,0
46,29,R1,ECA,mt,Accuracy,Mistranslation,Neutral,CA,1,0,0,1
47,29,R1,ECA,mt,,,,CA,0,0,0,0
48,29,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
49,30,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
49,30,R1,ECA,mt,Accuracy,Mistranslation,Neutral,CA,1,0,0,1
50,31,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
51,31,R1,ECA,mt,Accuracy,Untranslated,Major,CA,1,5,0,0
52,31,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
53,32,R1,ECA,mt,Fluency,Grammatical register,Minor,CA,1,1,0,0
53,32,R1,ECA,mt,Accuracy,Mistranslation,Neutral,CA,1,0,0,1
54,33,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
55,33,R1,ECA,mt,Fluency,Grammar,Major,CA,1,5,0,0
56,33,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
57,34,R1,ECA,mt,Fluency,Grammatical register,Minor,CA,1,1,0,0
57,34,R1,ECA,mt,Accuracy,Mistranslation,Neutral,CA,1,0,0,1
58,35,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
58,35,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
59,36,R1,ECA,mt,Accuracy,Mistranslation,Neutral,CA,1,0,0,1
60,36,R1,ECA,mt,Fluency,Grammatical register,Minor,CA,1,1,0,0
60,36,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
61,36,R1,ECA,mt,Other,,Major,CA,1,5,0,0
62,37,R1,ECA,mt,Accuracy,Untranslated,Critical,CA,1,10,0,0
63,38,R1,ECA,mt,Accuracy,Untranslated,Critical,CA,1,10,0,0
64,39,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
65,40,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
66,40,R1,ECA,mt,Accuracy,Untranslated,Neutral,CA,1,0,0,1
67,41,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
67,41,R1,ECA,mt,Accuracy,Mistranslation,Neutral,CA,1,0,0,1
68,41,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
69,41,R1,ECA,mt,Fluency,Grammatical register,Neutral,CA,1,0,0,1
69,41,R1,ECA,mt,Accuracy,Under-translation,Minor,CA,1,1,0,0
70,42,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
71,42,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
71,42,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
71,42,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
72,43,R1,ECA,mt,Accuracy,Mistranslation,Neutral,CA,1,0,0,1
73,44,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
74,44,R1,ECA,mt,,,,CA,0,0,0,0
75,45,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
75,45,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
76,45,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
76,45,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
77,46,R1,ECA,mt,Accuracy,Over-translation,Minor,CA,1,1,0,0
77,46,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
77,46,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
78,47,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
78,47,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
79,47,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
79,47,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
79,47,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
80,48,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
81,49,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
81,49,R1,ECA,mt,Fluency,Grammar,Minor,CA,1,1,0,0
82,49,R1,ECA,mt,Fluency,Grammatical register,Minor,CA,1,1,0,0
83,50,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
84,50,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
85,50,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
86,51,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
86,51,R1,ECA,mt,Fluency,Grammar,Minor,CA,1,1,0,0
87,52,R1,ECA,mt,Style,Unidiomatic,Neutral,CA,1,0,0,1
88,53,R1,ECA,mt,Fluency,Grammatical register,Minor,CA,1,1,0,0
88,53,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
89,54,R1,ECA,mt,Fluency,Grammar,Neutral,CA,1,0,0,1
90,54,R1,ECA,mt,,,,CA,0,0,0,0
91,55,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
91,55,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
92,55,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
93,55,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
94,55,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
94,55,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
95,55,R1,ECA,mt,Fluency,Grammatical register,Neutral,CA,1,0,0,1
95,55,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
96,55,R1,ECA,mt,Fluency,Grammatical register,Neutral,CA,1,0,0,1
96,55,R1,ECA,mt,Style,Awkward,Major,CA,1,5,0,0
97,55,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
98,56,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
99,56,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
100,56,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
101,57,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
102,57,R1,ECA,mt,Style,Awkward,Minor,CA,1,1,0,0
103,57,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
104,58,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
105,58,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
106,58,R1,ECA,mt,Accuracy,Mistranslation,Minor,CA,1,1,0,0
107,59,R1,ECA,mt,,,,CA,0,0,0,0
108,59,R1,ECA,mt,Fluency,Grammatical register,Neutral,CA,1,0,0,1
108,59,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
109,59,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
110,59,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
110,59,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
110,59,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
111,59,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
111,59,R1,ECA,mt,Fluency,Punctuation,Minor,CA,1,1,0,0
112,59,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
113,59,R1,ECA,mt,Fluency,Grammatical register,Neutral,CA,1,0,0,1
114,60,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
114,60,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
114,60,R1,ECA,mt,Style,Awkward,Minor,CA,1,1,0,0
115,61,R1,ECA,mt,Fluency,Grammatical register,Neutral,CA,1,0,0,1
115,61,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
115,61,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
116,62,R1,ECA,mt,Accuracy,Mistranslation,Major,CA,1,5,0,0
116,62,R1,ECA,mt,Fluency,Grammar,Minor,CA,1,1,0,0
117,62,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
118,63,R1,ECA,mt,Fluency,Grammatical register,Neutral,CA,1,0,0,1
118,63,R1,ECA,mt,Style,Unidiomatic,Minor,CA,1,1,0,0
